Emp Id,Channel Name,Mode of Sales,Line of Business,KPI Metric,KPI Metric Value,Transaction Date 
261,Distribution,Indirect,Key Account,LINES,3380,31-Jul-09
L2365,Distribution,Indirect,Key Account,ERECHARGE,4555,31-Jul-09
252,Distribution,Indirect,Key Account,NOT_INITIALIZED,12554,31-Jul-09
253,Distribution,Indirect,Key Account,NOT_INITIALIZED,5355,31-Jul-09
L2361,Distribution,Indirect,Key Account,LINES,10631,31-Jul-09
254,Distribution,Indirect,Key Account,SCRATCH_CARD,4217,31-Jul-09
L2365,Distribution,Indirect,Key Account,NOT_INITIALIZED,4555,31-Jul-09
255,Distribution,Indirect,Key Account,SCRATCH_CARD,5040,31-Jul-09
260,Distribution,Indirect,Key Account,ERECHARGE,5017,31-Jul-09
252,Distribution,Indirect,Key Account,ERECHARGE,12554,31-Jul-09
255,Distribution,Indirect,Key Account,ERECHARGE,5040,31-Jul-09
260,Distribution,Indirect,Key Account,NOT_INITIALIZED,5017,31-Jul-09
L2365,Distribution,Indirect,Key Account,LINES,4555,31-Jul-09
256,Distribution,Indirect,Key Account,LINES,10433,31-Jul-09
259,Distribution,Indirect,Key Account,LINES,2909,31-Jul-09
259,Distribution,Indirect,Key Account,SCRATCH_CARD,2909,31-Jul-09
261,Distribution,Indirect,Key Account,NOT_INITIALIZED,3380,31-Jul-09
L2361,Distribution,Indirect,Key Account,NOT_INITIALIZED,10631,31-Jul-09
252,Distribution,Indirect,Key Account,LINES,12554,31-Jul-09
261,Distribution,Indirect,Key Account,SCRATCH_CARD,3380,31-Jul-09
257,Distribution,Indirect,Key Account,SCRATCH_CARD,8264,31-Jul-09
253,Distribution,Indirect,Key Account,SCRATCH_CARD,5355,31-Jul-09
259,Distribution,Indirect,Key Account,ERECHARGE,2909,31-Jul-09
256,Distribution,Indirect,Key Account,ERECHARGE,10433,31-Jul-09
256,Distribution,Indirect,Key Account,NOT_INITIALIZED,10433,31-Jul-09
255,Distribution,Indirect,Key Account,NOT_INITIALIZED,5040,31-Jul-09
260,Distribution,Indirect,Key Account,LINES,5017,31-Jul-09
254,Distribution,Indirect,Key Account,LINES,4217,31-Jul-09
L2365,Distribution,Indirect,Key Account,SCRATCH_CARD,4555,31-Jul-09
260,Distribution,Indirect,Key Account,SCRATCH_CARD,5017,31-Jul-09
254,Distribution,Indirect,Key Account,ERECHARGE,4217,31-Jul-09
L2361,Distribution,Indirect,Key Account,ERECHARGE,10631,31-Jul-09
257,Distribution,Indirect,Key Account,NOT_INITIALIZED,8264,31-Jul-09
255,Distribution,Indirect,Key Account,LINES,5040,31-Jul-09
256,Distribution,Indirect,Key Account,SCRATCH_CARD,10433,31-Jul-09
261,Distribution,Indirect,Key Account,ERECHARGE,3380,31-Jul-09
258,Distribution,Indirect,Key Account,NOT_INITIALIZED,3638,31-Jul-09
257,Distribution,Indirect,Key Account,LINES,8264,31-Jul-09
258,Distribution,Indirect,Key Account,LINES,3638,31-Jul-09
253,Distribution,Indirect,Key Account,LINES,5355,31-Jul-09
L2361,Distribution,Indirect,Key Account,SCRATCH_CARD,10631,31-Jul-09
252,Distribution,Indirect,Key Account,SCRATCH_CARD,12554,31-Jul-09
258,Distribution,Indirect,Key Account,SCRATCH_CARD,3638,31-Jul-09
258,Distribution,Indirect,Key Account,ERECHARGE,3638,31-Jul-09
253,Distribution,Indirect,Key Account,ERECHARGE,5355,31-Jul-09
257,Distribution,Indirect,Key Account,ERECHARGE,8264,31-Jul-09
254,Distribution,Indirect,Key Account,NOT_INITIALIZED,4217,31-Jul-09
259,Distribution,Indirect,Key Account,NOT_INITIALIZED,2909,31-Jul-09
