Channel Name,Emp Id,Mode of Sales,Line of Business,KPI Metric,KPI Metric Value,Transaction Date 
Distribution,260,INDIRECT,KEY_ACCOUNT,SCRATCH_CARD,5187,31-Aug-09
Distribution,254,INDIRECT,KEY_ACCOUNT,SCRATCH_CARD,4956,31-Aug-09
Distribution,261,INDIRECT,KEY_ACCOUNT,SCRATCH_CARD,1351,30-Jun-09
Distribution,254,INDIRECT,KEY_ACCOUNT,SCRATCH_CARD,2379,30-Jun-09
Distribution,259,INDIRECT,KEY_ACCOUNT,SCRATCH_CARD,2909,31-Jul-09
Distribution,257,INDIRECT,KEY_ACCOUNT,SCRATCH_CARD,2646,30-Jun-09
Distribution,253,INDIRECT,KEY_ACCOUNT,ERECHARGE,5355,31-Jul-09
Distribution,254,INDIRECT,KEY_ACCOUNT,ERECHARGE,2379,30-Jun-09
Distribution,L2365,INDIRECT,KEY_ACCOUNT,ERECHARGE,4555,31-Jul-09
Distribution,L2361,INDIRECT,KEY_ACCOUNT,ERECHARGE,3556,30-Jun-09
Distribution,260,INDIRECT,KEY_ACCOUNT,ERECHARGE,5017,31-Jul-09
Distribution,259,INDIRECT,KEY_ACCOUNT,EX_POS,800,31-Dec-09
Distribution,259,INDIRECT,KEY_ACCOUNT,NON_EX_POS,300,31-Dec-09
Distribution,258,INDIRECT,KEY_ACCOUNT,SCRATCH_CARD,3638,31-Jul-09
Distribution,260,INDIRECT,KEY_ACCOUNT,SCRATCH_CARD,743,30-Jun-09
Distribution,253,INDIRECT,KEY_ACCOUNT,SCRATCH_CARD,5391,31-Aug-09
Distribution,261,INDIRECT,KEY_ACCOUNT,SCRATCH_CARD,4068,31-Aug-09
Distribution,255,INDIRECT,KEY_ACCOUNT,SCRATCH_CARD,6048,31-Aug-09
Distribution,254,INDIRECT,KEY_ACCOUNT,SCRATCH_CARD,4217,31-Jul-09
Distribution,256,INDIRECT,KEY_ACCOUNT,SCRATCH_CARD,9531,31-Aug-09
Distribution,257,INDIRECT,KEY_ACCOUNT,SCRATCH_CARD,11120,31-Aug-09
Distribution,252,INDIRECT,KEY_ACCOUNT,SCRATCH_CARD,7139,31-Aug-09
Distribution,252,INDIRECT,KEY_ACCOUNT,ERECHARGE,12554,31-Jul-09
Distribution,255,INDIRECT,KEY_ACCOUNT,ERECHARGE,2811,30-Jun-09
Distribution,260,INDIRECT,KEY_ACCOUNT,ERECHARGE,743,30-Jun-09
Distribution,L2365,INDIRECT,KEY_ACCOUNT,ERECHARGE,764,30-Jun-09
Distribution,L2365,INDIRECT,KEY_ACCOUNT,EX_POS,700,31-Dec-09
Distribution,257,INDIRECT,KEY_ACCOUNT,SCRATCH_CARD,8264,31-Jul-09
Distribution,258,INDIRECT,KEY_ACCOUNT,SCRATCH_CARD,1378,30-Jun-09
Distribution,255,INDIRECT,KEY_ACCOUNT,ERECHARGE,5040,31-Jul-09
Distribution,261,INDIRECT,KEY_ACCOUNT,ERECHARGE,1351,30-Jun-09
Distribution,260,INDIRECT,KEY_ACCOUNT,ERECHARGE,5187,31-Aug-09
Distribution,255,INDIRECT,KEY_ACCOUNT,EX_POS,700,31-Dec-09
Distribution,254,INDIRECT,KEY_ACCOUNT,EX_POS,600,31-Dec-09
Distribution,253,INDIRECT,KEY_ACCOUNT,EX_POS,500,31-Dec-09
Distribution,258,INDIRECT,KEY_ACCOUNT,NON_EX_POS,100,31-Dec-09
Distribution,253,INDIRECT,KEY_ACCOUNT,SCRATCH_CARD,5355,31-Jul-09
Distribution,260,INDIRECT,KEY_ACCOUNT,SCRATCH_CARD,5017,31-Jul-09
Distribution,L2365,INDIRECT,KEY_ACCOUNT,SCRATCH_CARD,2720,31-Aug-09
Distribution,L2361,INDIRECT,KEY_ACCOUNT,SCRATCH_CARD,8391,31-Aug-09
Distribution,256,INDIRECT,KEY_ACCOUNT,SCRATCH_CARD,2870,30-Jun-09
Distribution,253,INDIRECT,KEY_ACCOUNT,ERECHARGE,2318,30-Jun-09
Distribution,259,INDIRECT,KEY_ACCOUNT,ERECHARGE,3839,31-Aug-09
Distribution,L2361,INDIRECT,KEY_ACCOUNT,ERECHARGE,10631,31-Jul-09
Distribution,L2365,INDIRECT,KEY_ACCOUNT,ERECHARGE,2720,31-Aug-09
Distribution,255,INDIRECT,KEY_ACCOUNT,ERECHARGE,6048,31-Aug-09
Distribution,257,INDIRECT,KEY_ACCOUNT,NON_EX_POS,100,31-Dec-09
Distribution,261,INDIRECT,KEY_ACCOUNT,SCRATCH_CARD,3380,31-Jul-09
Distribution,256,INDIRECT,KEY_ACCOUNT,ERECHARGE,10433,31-Jul-09
Distribution,L2361,INDIRECT,KEY_ACCOUNT,ERECHARGE,8391,31-Aug-09
Distribution,259,INDIRECT,KEY_ACCOUNT,ERECHARGE,2909,31-Jul-09
Distribution,258,INDIRECT,KEY_ACCOUNT,ERECHARGE,1378,30-Jun-09
Distribution,257,INDIRECT,KEY_ACCOUNT,EX_POS,900,31-Dec-09
Distribution,252,INDIRECT,KEY_ACCOUNT,EX_POS,500,31-Dec-09
Distribution,L2361,INDIRECT,KEY_ACCOUNT,EX_POS,900,31-Dec-09
Distribution,L2365,INDIRECT,KEY_ACCOUNT,NON_EX_POS,200,31-Dec-09
Distribution,256,INDIRECT,KEY_ACCOUNT,SCRATCH_CARD,10433,31-Jul-09
Distribution,L2361,INDIRECT,KEY_ACCOUNT,SCRATCH_CARD,3556,30-Jun-09
Distribution,258,INDIRECT,KEY_ACCOUNT,SCRATCH_CARD,4938,31-Aug-09
Distribution,252,INDIRECT,KEY_ACCOUNT,SCRATCH_CARD,12554,31-Jul-09
Distribution,255,INDIRECT,KEY_ACCOUNT,SCRATCH_CARD,2811,30-Jun-09
Distribution,259,INDIRECT,KEY_ACCOUNT,SCRATCH_CARD,3839,31-Aug-09
Distribution,256,INDIRECT,KEY_ACCOUNT,ERECHARGE,2870,30-Jun-09
Distribution,257,INDIRECT,KEY_ACCOUNT,ERECHARGE,2646,30-Jun-09
Distribution,258,INDIRECT,KEY_ACCOUNT,ERECHARGE,4938,31-Aug-09
